drug|disease	disease ID labels	drug ID Label	drug ID	disease IDs	active ingredients in therapy	list of diseases
MONDO:0011122|CHEBI:4911	obesity disorder	Etoposide	CHEBI:4911	MONDO:0011122	['ETOPOSIDE']	['OBESITY']
MONDO:0011122|CHEBI:6030	obesity disorder	Isoniazid	CHEBI:6030	MONDO:0011122	['ISONIAZID']	['INTESTINAL BYPASS SURGERY FOR OBESITY']
MONDO:0011122|CHEBI:6801	obesity disorder	Metformin	CHEBI:6801	MONDO:0011122	['METFORMIN HYDROCHLORIDE']	['OBESITY']
MONDO:0011122|CHEBI:71193	obesity disorder	Liraglutide	CHEBI:71193	MONDO:0011122	['LIRAGLUTIDE']	['OBESITY']
MONDO:0011122|CHEBI:8080	obesity disorder	Phentermine	CHEBI:8080	MONDO:0011122	['PHENTERMINE, TOPIRAMATE']	['OBESITY']
MONDO:0011122|CHEBI:94686	obesity disorder	Orlistat	CHEBI:94686	MONDO:0011122	['ORLISTAT']	['OBESITY']
MONDO:0011122|UNII:N7T15V1FUY	obesity disorder	Setmelanotide	UNII:N7T15V1FUY	MONDO:0011122	['SETMELANOTIDE']	['OBESITY']
MONDO:0011144|RXCUI:2566414	ceroid lipofuscinosis, neuronal, 6A	Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 22F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 33F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine Injectable Product	RXCUI:2566414	MONDO:0011144	['STREPTOCOCCUS PNEUMONIAE TYPE 1 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 3 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 6A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN, STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN']	['6A']
MONDO:0011176|CHEBI:29108	intestinal hypomagnesemia 1	Calcium cation	CHEBI:29108	MONDO:0011176	['CALCIUM CATION']	['HYPOCALCEMIA (TETANY DUE TO ALKALOSIS)']
MONDO:0011225|CHEBI:28834	severe combined immunodeficiency due to DCLRE1C deficiency	Deoxycholic acid	CHEBI:28834	MONDO:0011225	['DEOXYCHOLIC ACID']	['SUBMENTAL FAT (MODERATE TO SEVERE CONVEXITY OR FULLNESS)']
MONDO:0011225|CHEBI:50140	severe combined immunodeficiency due to DCLRE1C deficiency	METHADONE HYDROCHLORIDE	CHEBI:50140	MONDO:0011225	['METHADONE']	['MODERATE TO SEVERE PAIN (NOT RESPONSIVE TO NON-NARCOTIC ANALGESICS)']
MONDO:0011225|CHEBI:7967	severe combined immunodeficiency due to DCLRE1C deficiency	PENICILLIN V POTASSIUM	CHEBI:7967	MONDO:0011225	['PENICILLIN V']	['MILD TO MODERATELY SEVERE INFECTIONS DUE TO PENICILLIN G-SENSITIVE MICROORGANISMS']
MONDO:0011225|CHEBI:81569	severe combined immunodeficiency due to DCLRE1C deficiency	Follitropin	CHEBI:81569	MONDO:0011225	['FOLLITROPIN ALFA']	['SEVERE LH AND FSH DEFICIENCY']
MONDO:0011225|CHEBI:8382	severe combined immunodeficiency due to DCLRE1C deficiency	Prednisone	CHEBI:8382	MONDO:0011225	['PREDNISONE']	['SEVERE HYPERCALCEMIA DUE TO OTHER CAUSES', 'SEVERE REACTIONS TO DRUGS']
MONDO:0011225|DRUGBANK:DB00083	severe combined immunodeficiency due to DCLRE1C deficiency	Botulinum toxin type A	DRUGBANK:DB00083	MONDO:0011225	['BOTULINUM TOXIN TYPE A']	['MODERATE TO SEVERE GLABELLAR LINES', 'MODERATE TO SEVERE HORIZONTAL FOREHEAD LINES', 'MODERATE TO SEVERE LATERAL CANTHAL LINES']
MONDO:0011229|CHEBI:31934	ethylmalonic encephalopathy	OMEPRAZOLE SODIUM	CHEBI:31934	MONDO:0011229	['BICARBONATE ION, OMEPRAZOLE']	['EE']
MONDO:0011230|CHEBI:25187	ossification of the posterior longitudinal ligament of the spine	Menthol	CHEBI:25187	MONDO:0011230	['LIDOCAINE, MENTHOL, UNSPECIFIED FORM']	['LIGAMENT STRAINS']
MONDO:0011230|RXCUI:1164043	ossification of the posterior longitudinal ligament of the spine	lidocaine / menthol / methyl salicylate Topical Product	RXCUI:1164043	MONDO:0011230	['LIDOCAINE, MENTHOL']	['LIGAMENT STRAINS']
MONDO:0011282|CHEBI:45863	tumor suppressor gene on chromosome 11	Paclitaxel	CHEBI:45863	MONDO:0011282	['PACLITAXEL']	['NONSMALL CELL LUNG CANCER']
MONDO:0011340|CHEBI:16684	congenital tracheal stenosis	Atropine	CHEBI:16684	MONDO:0011340	['HYOSCYAMINE']	['TRACHEOBRONCHIAL SECRETIONS']
MONDO:0011340|RXCUI:2637040	congenital tracheal stenosis	glycopyrronium / neostigmine Prefilled Syringe	RXCUI:2637040	MONDO:0011340	['GLYCOPYRRONIUM']	['TRACHEOBRONCHIAL SECRETIONS']
MONDO:0011353|CHEBI:8378	atrial septal defect, secundum, with various cardiac and Noncardiac defects	Prednisolone	CHEBI:8378	MONDO:0011353	['PREDNISOLONE', 'PREDNISOLONE, SACCHARIN']	['VARIOUS']
MONDO:0011366|CHEBI:45863	ovarian germ cell tumor	Paclitaxel	CHEBI:45863	MONDO:0011366	['PACLITAXEL']	['GERM CELL TUMOR (OVARIAN TUMOR)']
MONDO:0011366|CHEBI:9984	ovarian germ cell tumor	vincaleukoblastine sulfate	CHEBI:9984	MONDO:0011366	['VINBLASTINE SULFATE']	['GERM CELL TUMOR (OVARIAN TUMOR)']
MONDO:0011382|CHEBI:18050	sickle cell anemia	L-Glutamine	CHEBI:18050	MONDO:0011382	['GLUTAMINE']	['SICKLE CELL DISEASE']
MONDO:0011382|CHEBI:30769	sickle cell anemia	Citric acid	CHEBI:30769	MONDO:0011382	['PHOSPHORIC ACID, DEXTROSE, CITRIC ACID']	['SICKLE CELL ANEMIA']
MONDO:0011382|CHEBI:44423	sickle cell anemia	Hydroxyurea	CHEBI:44423	MONDO:0011382	['HYDROXYCARBAMIDE', 'HYDROXYUREA']	['SICKLE CELL ANEMIA', 'SICKLE CELL DISEASE', 'SICKLE-CELL SYNDROME']
MONDO:0011382|CHEBI:4911	sickle cell anemia	Etoposide	CHEBI:4911	MONDO:0011382	['ETOPOSIDE']	['SICKLE CELL ANEMIA']
MONDO:0011382|CHEBI:6446	sickle cell anemia	levothyroxine sodium anhydrous	CHEBI:6446	MONDO:0011382	['ANHYDROUS DEXTROSE, PHOSPHATE ION, ANHYDROUS CITRIC ACID']	['SICKLE CELL ANEMIA']
MONDO:0011382|CHEBI:68554	sickle cell anemia	Deferiprone	CHEBI:68554	MONDO:0011382	['DEFERIPRONE']	['SICKLE CELL DISEASE']
MONDO:0011382|UNII:3A58010674	sickle cell anemia	Pegfilgrastim	UNII:3A58010674	MONDO:0011382	['PEGFILGRASTIM ']	['SICKLE CELL ANEMIA']
MONDO:0011382|UNII:3ZO554A4Q8	sickle cell anemia	Voxelotor	UNII:3ZO554A4Q8	MONDO:0011382	['VOXELOTOR']	['HAEMOLYTIC ANAEMIA DUE TO SICKLE CELL DISEASE (SCD)', 'SICKLE CELL DISEASE (SCD)']
MONDO:0011382|UNII:L7451S9126	sickle cell anemia	Crizanlizumab	UNII:L7451S9126	MONDO:0011382	['CRIZANLIZUMAB']	['SICKLE CELL DISEASE']
MONDO:0011385|UNII:T472P45MG6	intervertebral disk degenerative disorder	Dibotermin alfa	UNII:T472P45MG6	MONDO:0011385	['DIBOTERMIN ALFA']	['DEGENERATIVE DISC DISEASE']
MONDO:0011405|CHEBI:59936	poikiloderma with neutropenia	ciprofloxacin hydrochloride hydrate	CHEBI:59936	MONDO:0011405	['CIPROFLOXACIN']	['PROPHYLAXIS OF INFECTIONS ASSOCIATED WITH NEUTROPENIA']
MONDO:0011429|CHEBI:135047	juvenile idiopathic arthritis	Phenyltoloxamine	CHEBI:135047	MONDO:0011429	['ACETAMINOPHEN, PHENYLTOLOXAMINE']	['ARTHRITIS']
MONDO:0011429|CHEBI:135949	juvenile idiopathic arthritis	Ambrisentan	CHEBI:135949	MONDO:0011429	['AMBRISENTAN']	['IDIOPATHIC PAH', 'IDIOPATHIC PAH (IPAH)']
MONDO:0011429|CHEBI:17824	juvenile idiopathic arthritis	Isopropyl alcohol	CHEBI:17824	MONDO:0011429	['IODINE, ISOPROPYL ALCOHOL, DEXAMETHASONE']	['INCLUDING JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS']
MONDO:0011429|CHEBI:2361	juvenile idiopathic arthritis	ABACAVIR SULFATE	CHEBI:2361	MONDO:0011429	['ABACAVIR SULFATE']	['JUVENILE IDIOPATHIC ARTHRITIS']
MONDO:0011429|CHEBI:25187	juvenile idiopathic arthritis	Menthol	CHEBI:25187	MONDO:0011429	['CAPSAICIN, MENTHOL, SALICYLIC ACID', 'LIDOCAINE, CAPSAICIN, MENTHOL, SALICYLIC ACID', 'LIDOCAINE, SALICYLIC ACID, MENTHOL, CAPSAICIN', 'MENTHOL, CAPSAICIN', 'MENTHOL, HISTAMINE, CAPSAICIN', 'SALICYLIC ACID, MENTHOL, CAPSAICIN']	['ARTHRITIS']
MONDO:0011429|CHEBI:3077	juvenile idiopathic arthritis	Betamethasone	CHEBI:3077	MONDO:0011429	['BETAMETHASONE']	['JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)']
MONDO:0011429|CHEBI:3215	juvenile idiopathic arthritis	Bupivacaine	CHEBI:3215	MONDO:0011429	['BUPIVACAINE, DEXAMETHASONE', 'ISOPROPYL ALCOHOL, BUPIVACAINE, DEXAMETHASONE']	['JUVENILE RHEUMATOID ARTHRITIS']
MONDO:0011429|CHEBI:3286	juvenile idiopathic arthritis	Cabergoline	CHEBI:3286	MONDO:0011429	['CABERGOLINE']	['HYPERPROLACTINEMIC DISORDERS (IDIOPATHIC)']
MONDO:0011429|CHEBI:3374	juvenile idiopathic arthritis	Capsaicin	CHEBI:3374	MONDO:0011429	['CAPSAICIN']	['ARTHRITIS']
MONDO:0011429|CHEBI:3897	juvenile idiopathic arthritis	Cortisone acetate	CHEBI:3897	MONDO:0011429	['CORTISONE']	['JUVENILE RHEUMATOID ARTHRITIS']
MONDO:0011429|CHEBI:41423	juvenile idiopathic arthritis	Celecoxib	CHEBI:41423	MONDO:0011429	['CELECOXIB', 'CROSCARMELLOSE, CELECOXIB']	['ACUTE PAIN (INCLUDING PAIN ASSOCIATED WITH OSTEOARTHRITIS AND RHEUMATOID ARTHRITIS)', 'ACUTE PAIN (INCLUDING PAIN FROM OSTEOARTHRITIS AND RHEUMATOID ARTHRITIS)', 'CHRONIC PAIN (INCLUDING PAIN ASSOCIATED WITH OSTEOARTHRITIS AND RHEUMATOID ARTHRITIS)', 'CHRONIC PAIN (INCLUDING PAIN FROM OSTEOARTHRITIS AND RHEUMATOID ARTHRITIS)', 'CHRONIC PAIN ASSOCIATED WITH RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (6 YEARS OF AGE AND OLDER)', 'JUVENILE RHEUMATOID ARTHRITIS (AGES 2 YEARS AND OLDER)', 'JUVENILE RHEUMATOID ARTHRITIS (JRA)', 'PAIN ASSOCIATED WITH RHEUMATOID ARTHRITIS', 'RHEUMATOID ARTHRITIS (PAIN AND INFLAMMATION)']
MONDO:0011429|CHEBI:44185	juvenile idiopathic arthritis	Methotrexate	CHEBI:44185	MONDO:0011429	['METHOTREXATE']	['ACTIVE RHEUMATOID ARTHRITIS', 'JUVENILE IDIOPATHIC ARTHRITIS', 'JUVENILE IDIOPATHIC ARTHRITIS (JIA)', 'POLYARTICULAR JUVENILE IDIOPATHIC ARTHRITIS (PJIA)']
MONDO:0011429|CHEBI:4462	juvenile idiopathic arthritis	DEXAMETHASONE SODIUM PHOSPHATE	CHEBI:4462	MONDO:0011429	['DEXAMETHASONE', 'SULFITE ION, DEXAMETHASONE']	['INCLUDING JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW- DOSE MAINTENANCE THERAPY)', 'JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)', 'OF THE IDIOPATHIC TYPE']
MONDO:0011429|CHEBI:4508	juvenile idiopathic arthritis	DICLOFENAC POTASSIUM	CHEBI:4508	MONDO:0011429	['DICLOFENAC, SALICYLIC ACID']	['ARTHRITIS']
MONDO:0011429|CHEBI:46195	juvenile idiopathic arthritis	Acetaminophen	CHEBI:46195	MONDO:0011429	['ACETAMINOPHEN']	['ARTHRITIS']
MONDO:0011429|CHEBI:4875	juvenile idiopathic arthritis	Etanercept	CHEBI:4875	MONDO:0011429	['ETANERCEPT']	['JUVENILE IDIOPATHIC ARTHRITIS', 'JUVENILE PSORIATIC ARTHRITIS (JPSA)', 'POLYARTICULAR JUVENILE IDIOPATHIC ARTHRITIS (JIA)', 'POLYARTICULAR JUVENILE IDIOPATHIC ARTHRITIS (PJIA)']
MONDO:0011429|CHEBI:4909	juvenile idiopathic arthritis	Etodolac	CHEBI:4909	MONDO:0011429	['ETODOLAC']	['JUVENILE ARTHRITIS', 'PAIN ASSOCIATED WITH RHEUMATOID ARTHRITIS']
MONDO:0011429|CHEBI:49662	juvenile idiopathic arthritis	Indomethacin	CHEBI:49662	MONDO:0011429	['INDOMETHACIN']	['ACUTE FLARES OF CHRONIC DISEASE (RHEUMATOID ARTHRITIS)', 'ACUTE FLARES OF CHRONIC RHEUMATOID ARTHRITIS', 'MODERATE TO SEVERE RHEUMATOID ARTHRITIS INCLUDING ACUTE FLARES OF CHRONIC DISEASE', 'RHEUMATOID ARTHRITIS (ACTIVE STAGES)', 'RHEUMATOID ARTHRITIS (ACUTE FLARES)']
MONDO:0011429|CHEBI:55340	juvenile idiopathic arthritis	MORPHINE HYDROCHLORIDE	CHEBI:55340	MONDO:0011429	['MORPHINE HYDROCHLORIDE']	['ARTHRITIS']
MONDO:0011429|CHEBI:5781	juvenile idiopathic arthritis	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	MONDO:0011429	['HYDROCORTISONE']	['JUVENILE RHEUMATOID ARTHRITIS', 'REFRACTORY RHEUMATOID ARTHRITIS', 'RHEUMATOID ARTHRITIS (AS ADJUNCTIVE THERAPY)']
MONDO:0011429|CHEBI:5801	juvenile idiopathic arthritis	Hydroxychloroquine	CHEBI:5801	MONDO:0011429	['CROSCARMELLOSE, HYDROXYCHLOROQUINE', 'HYDROXYCHLOROQUINE']	['ACUTE RHEUMATOID ARTHRITIS', 'CHRONIC RHEUMATOID ARTHRITIS', 'RHEUMATOID ARTHRITIS (1.2)']
MONDO:0011429|CHEBI:5855	juvenile idiopathic arthritis	Ibuprofen	CHEBI:5855	MONDO:0011429	['IBUPROFEN']	['JUVENILE ARTHRITIS']
MONDO:0011429|CHEBI:61049	juvenile idiopathic arthritis	Tacrolimus	CHEBI:61049	MONDO:0011429	['TACROLIMUS HYDRATE']	['RHEUMATOID ARTHRITIS (ONLY WHERE CONVENTIONAL TREATMENTS ARE INADEQUATE)']
MONDO:0011429|CHEBI:6446	juvenile idiopathic arthritis	levothyroxine sodium anhydrous	CHEBI:6446	MONDO:0011429	['ANHYDROUS LACTOSE, INDOMETHACIN', 'CELECOXIB, ANHYDROUS LACTOSE', 'FOOD YELLOW 3 FREE ACID, DEXAMETHASONE, ANHYDROUS LACTOSE', 'FOOD YELLOW 3 FREE ACID, PREDNISONE, ANHYDROUS LACTOSE', 'PREDNISONE, ANHYDROUS LACTOSE']	['ACUTE FLARES OF CHRONIC RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)', 'MODERATE TO SEVERE RHEUMATOID ARTHRITIS INCLUDING ACUTE FLARES OF CHRONIC DISEASE']
MONDO:0011429|CHEBI:6456	juvenile idiopathic arthritis	Lidocaine	CHEBI:6456	MONDO:0011429	['LIDOCAINE', 'LIDOCAINE, BUPIVACAINE, METHYLPREDNISOLONE', 'LIDOCAINE, CAPSAICIN', 'LIDOCAINE, DICLOFENAC', 'LIDOCAINE, ISOPROPYL ALCOHOL, BETAMETHASONE, IODINE', 'LIDOCAINE, ISOPROPYL ALCOHOL, IODINE, DEXAMETHASONE', 'LIDOCAINE, ISOPROPYL ALCOHOL, IODINE, METHYLPREDNISOLONE', 'LIDOCAINE, ISOPROPYL ALCOHOL, METHYLPREDNISOLONE']	['ARTHRITIS', 'INCLUDING JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)']
MONDO:0011429|CHEBI:6710	juvenile idiopathic arthritis	Meclofenamic acid	CHEBI:6710	MONDO:0011429	['MECLOFENAMIC ACID']	['JUVENILE ARTHRITIS']
MONDO:0011429|CHEBI:6741	juvenile idiopathic arthritis	Meloxicam	CHEBI:6741	MONDO:0011429	['MELOXICAM', 'MELOXICAM, ANHYDROUS LACTOSE']	['JUVENILE IDIOPATHIC ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (JRA)', 'JUVENILE RHEUMATOID ARTHRITIS (JRA) PAUCIARTICULAR AND POLYARTICULAR COURSE', 'JUVENILE RHEUMATOID ARTHRITIS (PAUCIARTICULAR AND POLYARTICULAR COURSE)']
MONDO:0011429|CHEBI:6754	juvenile idiopathic arthritis	Meperidine	CHEBI:6754	MONDO:0011429	['MEPERIDINE']	['ARTHRITIS']
MONDO:0011429|CHEBI:6888	juvenile idiopathic arthritis	Methylprednisolone	CHEBI:6888	MONDO:0011429	['METHYLPREDNISOLONE', 'METHYLPREDNISOLONE, ANHYDROUS LACTOSE']	['ARTHRITIS', 'INCLUDING JUVENILE RHEUMATOID ARTHRITIS', 'INCLUDING JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)', 'JUVENILE IDIOPATHIC ARTHRITIS', 'JUVENILE IDIOPATHIC ARTHRITIS (JIA)', 'JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)', 'RHEUMATOID ARTHRITIS (E.G.']
MONDO:0011429|CHEBI:71940	juvenile idiopathic arthritis	Tadalafil	CHEBI:71940	MONDO:0011429	['TADALAFIL']	['IDIOPATHIC PAH (IPAH)']
MONDO:0011429|CHEBI:7476	juvenile idiopathic arthritis	Naproxen	CHEBI:7476	MONDO:0011429	['.GAMMA.-AMINOBUTYRIC ACID, NAPROXEN', 'CROSCARMELLOSE, NAPROXEN', 'NAPROXEN', 'NAPROXEN, ESOMEPRAZOLE', 'NAPROXEN, HISTIDINE']	['ARTHRITIS', 'JUVENILE ARTHRITIS', 'JUVENILE IDIOPATHIC ARTHRITIS (JIA)']
MONDO:0011429|CHEBI:7822	juvenile idiopathic arthritis	Oxaprozin	CHEBI:7822	MONDO:0011429	['OXAPROZIN', 'OXAPROZIN, POLACRILIN']	['JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (JRA)']
MONDO:0011429|CHEBI:8378	juvenile idiopathic arthritis	Prednisolone	CHEBI:8378	MONDO:0011429	['PREDNISOLONE', 'PREDNISOLONE, SACCHARIN']	['INCLUDING JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS']
MONDO:0011429|CHEBI:8382	juvenile idiopathic arthritis	Prednisone	CHEBI:8382	MONDO:0011429	['FOOD YELLOW 3 FREE ACID, PREDNISONE', 'PREDNISONE']	['INCLUDING JUVENILE RHEUMATOID ARTHRITIS', 'INCLUDING JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)', 'JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)', 'RHEUMATOID ARTHRITIS (IN CONJUNCTION WITH OTHER AGENTS)']
MONDO:0011429|CHEBI:8890	juvenile idiopathic arthritis	Ropivacaine	CHEBI:8890	MONDO:0011429	['ROPIVACAINE, IODINE, DEXAMETHASONE']	['INCLUDING JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)']
MONDO:0011429|CHEBI:9241	juvenile idiopathic arthritis	Spironolactone	CHEBI:9241	MONDO:0011429	['SPIRONOLACTONE']	['IDIOPATHIC HYPERANDROGENISM']
MONDO:0011429|CHEBI:9334	juvenile idiopathic arthritis	Sulfasalazine	CHEBI:9334	MONDO:0011429	['SULFASALAZINE']	['JUVENILE RHEUMATOID ARTHRITIS', 'POLYARTICULAR-COURSE1 JUVENILE RHEUMATOID ARTHRITIS']
MONDO:0011429|CHEBI:9463	juvenile idiopathic arthritis	Testosterone cypionate	CHEBI:9463	MONDO:0011429	['TESTOSTERONE']	['IDIOPATHIC GONADOTROPIC LHRH DEFICIENCY', 'IDIOPATHIC GONADOTROPIN DEFICIENCY', 'IDIOPATHIC LHRH DEFICIENCY']
MONDO:0011429|CHEBI:95341	juvenile idiopathic arthritis	Baricitinib	CHEBI:95341	MONDO:0011429	['BARICITINIB']	['JUVENILE IDIOPATHIC ARTHRITIS']
MONDO:0011429|CHEBI:9619	juvenile idiopathic arthritis	TOLMETIN SODIUM	CHEBI:9619	MONDO:0011429	['TOLMETIN']	['JUVENILE RHEUMATOID ARTHRITIS']
MONDO:0011429|CHEBI:9667	juvenile idiopathic arthritis	Triamcinolone	CHEBI:9667	MONDO:0011429	['BUPIVACAINE, IODINE, CHLORIDE ION, LIDOCAINE, ISOPROPYL ALCOHOL, TRIAMCINOLONE ACETONIDE, SODIUM CATION', 'ISOPROPYL ALCOHOL, IODINE, TRIAMCINOLONE ACETONIDE', 'LIDOCAINE, AMMONIA, IODINE, TRIAMCINOLONE ACETONIDE', 'LIDOCAINE, IODINE, TRIAMCINOLONE ACETONIDE', 'TRIAMCINOLONE', 'TRIAMCINOLONE ACETONIDE']	['JUVENILE RHEUMATOID ARTHRITIS', 'JUVENILE RHEUMATOID ARTHRITIS (SELECTED CASES MAY REQUIRE LOW-DOSE MAINTENANCE THERAPY)']
MONDO:0011429|CHEBI:9720	juvenile idiopathic arthritis	Trihexyphenidyl	CHEBI:9720	MONDO:0011429	['TRIHEXYPHENIDYL']	['PARKINSONISM (IDIOPATHIC)']
MONDO:0011429|PUBCHEM.COMPOUND:22833361	juvenile idiopathic arthritis	Tea tree oil	PUBCHEM.COMPOUND:22833361	MONDO:0011429	['TEA TREE OIL, EUCALYPTUS OIL']	['ARTHRITIS']
MONDO:0011429|RXCUI:1164043	juvenile idiopathic arthritis	lidocaine / menthol / methyl salicylate Topical Product	RXCUI:1164043	MONDO:0011429	['LIDOCAINE, MENTHOL']	['ARTHRITIS']
MONDO:0011429|RXCUI:835851	juvenile idiopathic arthritis	capsaicin / menthol / methyl salicylate Topical Ointment	RXCUI:835851	MONDO:0011429	['METHYL SALICYLATE, MENTHOL, CAPSAICIN']	['ARTHRITIS (SIMPLE)']
MONDO:0011429|UNII:37CQ2C7X93	juvenile idiopathic arthritis	Canakinumab	UNII:37CQ2C7X93	MONDO:0011429	['CANAKINUMAB']	['SYSTEMIC JUVENILE IDIOPATHIC ARTHRITIS (SJIA)']
MONDO:0011429|UNII:71WO621TJD	juvenile idiopathic arthritis	VANCOMYCIN HYDROCHLORIDE	UNII:71WO621TJD	MONDO:0011429	['VANCOMYCIN HYDROCHLORIDE']	['ARTHRITIS']
MONDO:0011429|UNII:9013DUQ28K	juvenile idiopathic arthritis	Anakinra	UNII:9013DUQ28K	MONDO:0011429	['ANAKINRA']	['SYSTEMIC JUVENILE IDIOPATHIC ARTHRITIS (SJIA)']
MONDO:0011429|UNII:91X1KLU43E	juvenile idiopathic arthritis	Golimumab	UNII:91X1KLU43E	MONDO:0011429	['GOLIMUMAB']	['JUVENILE IDIOPATHIC ARTHRITIS (PJIA)']
MONDO:0011429|UNII:DLG4EML025	juvenile idiopathic arthritis	Secukinumab	UNII:DLG4EML025	MONDO:0011429	['SECUKINUMAB']	['JUVENILE PSORIATIC ARTHRITIS (JPSA)']
